epoch,lr-Adam,step,train_loss,val_loss
,0.001,0,,
0,,114,,0.3895558714866638
0,,114,0.5659306049346924,
,0.001,115,,
1,,229,,0.4033729135990143
1,,229,0.3991563022136688,
,0.001,230,,
2,,344,,0.32334229350090027
2,,344,0.3721628487110138,
,0.001,345,,
3,,459,,0.3325621485710144
3,,459,0.36003577709198,
,0.001,460,,
4,,574,,0.2851110100746155
4,,574,0.3367072343826294,
,0.001,575,,
5,,689,,0.31878364086151123
5,,689,0.33624759316444397,
,0.001,690,,
6,,804,,0.27698683738708496
6,,804,0.3230937123298645,
,0.001,805,,
7,,919,,0.2651008665561676
7,,919,0.31689706444740295,
,0.001,920,,
8,,1034,,0.3290327191352844
8,,1034,0.3224763572216034,
,0.001,1035,,
9,,1149,,0.26231274008750916
9,,1149,0.3205912411212921,
,0.001,1150,,
10,,1264,,0.2623586654663086
10,,1264,0.3056372106075287,
,0.001,1265,,
11,,1379,,0.27497726678848267
11,,1379,0.3061785101890564,
,0.001,1380,,
12,,1494,,0.26713886857032776
12,,1494,0.28764402866363525,
,0.001,1495,,
13,,1609,,0.26273778080940247
13,,1609,0.2932735085487366,
,0.001,1610,,
14,,1724,,0.30798789858818054
14,,1724,0.2865963876247406,
,0.001,1725,,
15,,1839,,0.2584587633609772
15,,1839,0.2786101698875427,
,0.001,1840,,
16,,1954,,0.22016288340091705
16,,1954,0.2774013876914978,
,0.001,1955,,
17,,2069,,0.2828713655471802
17,,2069,0.27064821124076843,
,0.001,2070,,
18,,2184,,0.2113933563232422
18,,2184,0.2736959755420685,
,0.001,2185,,
19,,2299,,0.28503671288490295
19,,2299,0.26596537232398987,
,0.001,2300,,
20,,2414,,0.23623135685920715
20,,2414,0.26453423500061035,
,0.001,2415,,
21,,2529,,0.2380823940038681
21,,2529,0.25793924927711487,
,0.001,2530,,
22,,2644,,0.22287553548812866
22,,2644,0.24715861678123474,
,0.001,2645,,
23,,2759,,0.22080138325691223
23,,2759,0.25278440117836,
,0.001,2760,,
24,,2874,,0.2329699844121933
24,,2874,0.24185697734355927,
,0.0005,2875,,
25,,2989,,0.20271825790405273
25,,2989,0.2368638515472412,
,0.0005,2990,,
26,,3104,,0.2026243656873703
26,,3104,0.22765150666236877,
,0.0005,3105,,
27,,3219,,0.21267522871494293
27,,3219,0.22751805186271667,
,0.0005,3220,,
28,,3334,,0.21296319365501404
28,,3334,0.22105351090431213,
,0.0005,3335,,
29,,3449,,0.20235466957092285
29,,3449,0.22140002250671387,
,0.0005,3450,,
30,,3564,,0.22247837483882904
30,,3564,0.22515851259231567,
,0.0005,3565,,
31,,3679,,0.1991087645292282
31,,3679,0.21037998795509338,
,0.0005,3680,,
32,,3794,,0.21480152010917664
32,,3794,0.21748635172843933,
,0.0005,3795,,
33,,3909,,0.1997251957654953
33,,3909,0.2178274244070053,
