epoch,step,train_loss_epoch,train_loss_step,val_loss
0,0,,0.8998465538024902,
0,1,,0.8683750629425049,
0,2,,0.8306695222854614,
0,3,,0.7945337891578674,
0,4,,0.7785724997520447,
0,5,,0.7552750110626221,
0,6,,0.7250089645385742,
0,7,,0.723096489906311,
0,8,,0.7009021043777466,
0,9,,0.6838809847831726,
0,10,,0.6655160188674927,
0,11,,0.6454271674156189,
0,12,,0.6431328058242798,
0,13,,0.631022572517395,
0,14,,0.6066675782203674,
0,15,,0.620413064956665,
0,16,,0.6011497974395752,
0,17,,0.5818697214126587,
0,18,,0.5901776552200317,
0,19,,0.5647891163825989,
0,20,,0.5755597352981567,
0,21,,0.5667905807495117,
0,22,,0.539278507232666,
0,23,,0.5310568809509277,
0,24,,0.5404026508331299,
0,25,,0.5347427725791931,
0,26,,0.5063822865486145,
0,27,,0.5154895782470703,
0,28,,0.4970482587814331,
0,29,,0.4842033386230469,
0,30,,0.5067596435546875,
0,31,,0.49558621644973755,
0,32,,0.4646656811237335,
0,33,,0.47108888626098633,
0,34,,0.45681118965148926,
0,35,,0.45535820722579956,
0,36,,0.4366946220397949,
0,37,,0.45576709508895874,
0,38,,0.43630391359329224,
0,39,,0.42804887890815735,
0,40,,0.4263310134410858,
0,41,,0.43363088369369507,
0,42,,0.4303872883319855,
0,43,,0.4257050156593323,
0,44,,0.42861324548721313,
0,45,,0.40902015566825867,
0,46,,0.4092414379119873,
0,47,,0.3931432366371155,
0,48,,0.3991336524486542,
0,49,,0.4019727110862732,
0,50,,0.41251400113105774,
0,51,,0.39598512649536133,
0,52,,0.39358142018318176,
0,53,,0.3891531825065613,
0,54,,0.3881440758705139,
0,55,,0.38378646969795227,
0,56,,0.3765786290168762,
0,57,,0.38870832324028015,
0,58,,0.3762826919555664,
0,59,,0.3842126429080963,
0,60,,0.36387476325035095,
0,61,,0.35266000032424927,
0,62,,0.38066720962524414,
0,63,,0.36158299446105957,
0,64,,0.3478333652019501,
0,65,,0.36335229873657227,
0,66,,0.3648853898048401,
0,67,,0.3568614423274994,
0,68,,0.401675820350647,
0,68,,,0.3423217535018921
0,68,0.5107731819152832,,
1,69,,0.3355260491371155,
1,70,,0.3285768926143646,
1,71,,0.3512049615383148,
1,72,,0.35772958397865295,
1,73,,0.3503744602203369,
1,74,,0.3382187783718109,
1,75,,0.33596885204315186,
1,76,,0.32570934295654297,
1,77,,0.34296339750289917,
1,78,,0.3405658006668091,
1,79,,0.31727755069732666,
1,80,,0.3282228708267212,
1,81,,0.31459155678749084,
1,82,,0.3106973171234131,
1,83,,0.3055591881275177,
1,84,,0.30995824933052063,
1,85,,0.3223344385623932,
1,86,,0.30395153164863586,
1,87,,0.31209123134613037,
1,88,,0.2952785789966583,
1,89,,0.30309516191482544,
1,90,,0.2994183599948883,
1,91,,0.2939393222332001,
1,92,,0.2914917469024658,
1,93,,0.30432945489883423,
1,94,,0.2887609004974365,
1,95,,0.28794679045677185,
1,96,,0.2897240221500397,
1,97,,0.29502299427986145,
1,98,,0.28501594066619873,
1,99,,0.2772814631462097,
1,100,,0.27391985058784485,
1,101,,0.2861533463001251,
1,102,,0.26653212308883667,
1,103,,0.2893277406692505,
1,104,,0.2679896652698517,
1,105,,0.2748911678791046,
1,106,,0.26133641600608826,
1,107,,0.2603882849216461,
1,108,,0.25595295429229736,
1,109,,0.25903159379959106,
1,110,,0.2650004029273987,
1,111,,0.2665659785270691,
1,112,,0.2588888704776764,
1,113,,0.2506556510925293,
1,114,,0.25892525911331177,
1,115,,0.235846608877182,
1,116,,0.24022743105888367,
1,117,,0.25616833567619324,
1,118,,0.23569166660308838,
1,119,,0.2424391210079193,
1,120,,0.24043984711170197,
1,121,,0.2267056107521057,
1,122,,0.23702387511730194,
1,123,,0.2244272381067276,
1,124,,0.2237333208322525,
1,125,,0.22647309303283691,
1,126,,0.2264034003019333,
1,127,,0.24517978727817535,
1,128,,0.2231820821762085,
1,129,,0.23571768403053284,
1,130,,0.22319987416267395,
1,131,,0.22590819001197815,
1,132,,0.2214049994945526,
1,133,,0.21474455296993256,
1,134,,0.2246900498867035,
1,135,,0.22356587648391724,
1,136,,0.2100856453180313,
1,137,,0.20748688280582428,
1,137,,,0.22793079912662506
1,137,0.27636823058128357,,
2,138,,0.21693363785743713,
2,139,,0.233077734708786,
2,140,,0.20175251364707947,
2,141,,0.21304534375667572,
2,142,,0.20550522208213806,
2,143,,0.19670909643173218,
2,144,,0.213612362742424,
2,145,,0.19732241332530975,
2,146,,0.2099340260028839,
2,147,,0.20343786478042603,
2,148,,0.20201590657234192,
2,149,,0.19981035590171814,
2,150,,0.2010083794593811,
2,151,,0.20639418065547943,
2,152,,0.20803168416023254,
2,153,,0.19034962356090546,
2,154,,0.19804957509040833,
2,155,,0.18720948696136475,
2,156,,0.18952283263206482,
2,157,,0.18690547347068787,
2,158,,0.18452461063861847,
2,159,,0.18940389156341553,
2,160,,0.19147570431232452,
2,161,,0.18102580308914185,
2,162,,0.18730126321315765,
2,163,,0.18456950783729553,
2,164,,0.1715983748435974,
2,165,,0.20181716978549957,
2,166,,0.19508421421051025,
2,167,,0.18278518319129944,
2,168,,0.1712871640920639,
2,169,,0.18655860424041748,
2,170,,0.16962334513664246,
2,171,,0.19531917572021484,
2,172,,0.1684926599264145,
2,173,,0.17745491862297058,
2,174,,0.16973823308944702,
2,175,,0.16550281643867493,
