epoch,step,train_loss,val_loss
0,68,,0.33342066407203674
0,68,0.5112659335136414,
1,137,,0.22449852526187897
1,137,0.2755679488182068,
2,206,,0.1469079852104187
2,206,0.17498618364334106,
3,275,,0.12221384793519974
3,275,0.12536558508872986,
4,344,,0.1053357720375061
4,344,0.0996554046869278,
5,413,,0.1010613888502121
5,413,0.08401131629943848,
6,482,,0.097078837454319
6,482,0.07666276395320892,
7,551,,0.08730536699295044
7,551,0.06967737525701523,
8,620,,0.07513269782066345
8,620,0.06433851271867752,
9,689,,0.07789292186498642
9,689,0.0604475736618042,
10,758,,0.08103451132774353
10,758,0.06469182670116425,
11,827,,0.07520603388547897
11,827,0.056453850120306015,
12,896,,0.07350054383277893
12,896,0.05528002232313156,
13,965,,0.08064238727092743
13,965,0.05192222073674202,
14,1034,,0.07077977806329727
14,1034,0.05260719358921051,
15,1103,,0.07893697917461395
15,1103,0.05140126496553421,
16,1172,,0.07407155632972717
16,1172,0.049096930772066116,
17,1241,,0.07465462386608124
17,1241,0.049011439085006714,
18,1310,,0.07093825936317444
18,1310,0.04920344054698944,
19,1379,,0.0830598771572113
19,1379,0.04649646207690239,
